Category,Product,URL
Amps & FX | Effects | Noise Reduction,Decimator II G String Noise Gate / Noise Reduction Pedal,http://www.guitarfactory.com.au/Pedals_FX/ISP/ISP-Decimator-II-G-String-Noise-Reduction-Pedal
Recording | Interfaces,Pro Tools Quartet With Pro Tools 12 1 Year Subscription,http://www.guitarfactory.com.au/Studio/Avid/pro-tools-quartet-with-pro-tools-1-year-subscription
"Recording | Software | VST's, Instruments and FX",Komplete 11 Ultimate (Upgrade from Komplete 8 - 10 Standard),https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=10781
Amps & FX | Effects | Noise Reduction,Decimator II - Noise Gate / Noise Reduction Pedal,http://www.guitarfactory.com.au/Pedals_FX/ISP/ISP-Decimator-II-Noise-Reduction-Pedal
Recording | Sound Cards,Eleven Rack - Guitar Processor (with Pro Tools 12 1-year subscription),https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=9134
Recording | Software,Live 9 Suite DAW Software Upgrade From Live Intro,https://www.belfieldmusic.com.au/ableton-live-9-suite-upgrade-from-live-intro-recording-daw-software.html
Recording | Software,Live 9 Upgrade From Live Intro,https://www.storedj.com.au/ableton-live-9-upgrade-from-live-intro
Recording | Software,Live 9 Suite DAW Software Upgrade From Live Intro,https://www.storedj.com.au/ableton-live-9-upgrade-from-live-intro
Recording | Studio Monitors,"Ceres C3.5 BT Bluetooth  2-Way 3.5"" Studio Monitor w/ Bluetooth (PAIR)",https://www.storedj.com.au/presonus-ceres-c3-5-bt-3-5-monitors-w-bluetooth-pair
Recording | Studio Monitors,"Ceres C3.5 BT Bluetooth  2-Way 3.5"" Studio Monitor w/ Bluetooth (PAIR)",http://www.guitarfactory.com.au/Studio/PreSonus/presonus-ceres-c3-5-bt-bluetooth-pair
Recording | Software,Live 9 Suite DAW Software Upgrade From Live Intro,http://www.bigmusicshop.com.au/ableton-live-9-suite-daw-software-upgrade-from-live-lite.html
Live Sound,166xs Compressor / Limiter / Gate,https://www.storedj.com.au/dbx-166xs-compressor-limiter-gate
Recording | Interfaces | Professional ,Universal Audio Apollo 8 Duo Thunderbolt 2 Audio Interface,https://www.storedj.com.au/universal-audio-apollo-8-duo-thunderbolt-2-audio-interface
Recording | Interfaces,Pro Tools Duet With Pro Tools 12 1 year Subscription,http://www.guitarfactory.com.au/Studio/Avid/pro-tools-duet-with-pro-tools-1-year-subscription
Guitars | Electric Guitars | Travel Guitars,JS1X Dinky Minion 2/3 Scale Electric Guitar - Black,https://www.kosmic.com.au/jackson-js1x-dinky-minion-2-3-scale-black
Guitars | Folk Instruments | Mandolin,G9311 New Yorker™ Supreme A/E Mandolin 2-Tone Sunburst,http://www.bigmusicshop.com.au/gretsch-g9311-new-yorker-supreme-mandolin-a-e-2-tone-sunburst.html
Guitars | Acoustic Guitars | Resonators,Gretsch G9200 Boxcar Round Neck Resonator Natural,http://www.bigmusicshop.com.au/gretsch-g9200-boxcar-round-neck-resonator.html
"Recording | Software | VST's, Instruments and FX | Virtual Drumming",Metal Foundry SDX - Expansion pack for Superior Drummer,http://www.bettermusic.com.au/toontrack-metal-foundry-sdx-for-superior-drummer
"Recording | Software | VST's, Instruments and FX | Virtual Drumming",Drumkit From Hell EZX - Expansion pack for EZdrummer DFH,http://www.guitarfactory.com.au/Software/Toontrack/Toontrack-Drumkit-From-Hell-EZX
Guitars | Bass Guitars,Bootsy Collins Spacebass Purple,http://www.guitarfactory.com.au/Guitars/Bass/Warwick/Signature/Warwick-Bootsy-Collins-Spacebass-Purple
Guitars | Acoustic Guitars | Resonators,G9220 Bobtail™ Round-Neck A.E.,http://www.portmacguitars.com.au/gretsch-g9220-bobtail-round-neck-a.e..html
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,HT Club 40 - 40 Watt valve Combo,http://www.guitarfactory.com.au/Amps/Blackstar/HT-5/Blackstar-HT-Club-40-Combo
Guitars | Electric Guitars | Hollowbodies,G6122II Chet Atkins Country Gentleman,http://www.portmacguitars.com.au/gretsch-g6122ii-chet-atkins-country-gentleman.html
Guitars | Acoustic Guitars | Resonators,G9230 Bobtail™ Square-Neck A.E.,http://www.portmacguitars.com.au/gretsch-g9230-bobtail-square-neck-a.e..html
Recording | Synth Modules,Aira Scooper Programmable Scatter Effect,https://www.storedj.com.au/roland-aira-modular-scooper-programmable-eurorack-scatter-effect
Amps & FX | Effects | Noise Reduction,Decimator II - Noise Gate / Noise Reduction Pedal,http://www.haworthguitars.com.au/products/effect-pedals/guitar-bass/isp-isp-decimator-ii-noise-reduction-pedal/
Amps & FX | Guitar Amps | Guitar Heads | Valve Guitar Heads,Tiny Terror Signature 4 Jim Root Terror Head,http://www.bettermusic.com.au/orange-tiny-terror-jim-root-4-signature-amp-head
Amps & FX | Effects,Smart Gate Noise Gate Pedal,https://www.ghmusic.com.au/mxr-smart-gate-noise-gate.html
"Recording | Software | VST's, Instruments and FX","Komplete 11 Ultimate (Upgrade from Komplete Select, Machine Studio & Kontrol S Keyboards)",https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=10782
Accessories & Parts | Tuners,Chromatic Tuner TU300 Ultimate Guitar/Bass Tuner,https://www.storedj.com.au/behringer-tu300-chromatic-guitar-bass-tuner
Recording | What's in our studio | Pre-Amps,ISA828 8 Channel Transformer Mic Pre-Amp,https://www.belfieldmusic.com.au/focusrite-isa828-8-channel-transformer-mic-pre-amp.html
Recording | Studio Monitors | Studio Subwoofers,"KRK 12sHO 12"" High-Output Studio Subwoofer",http://www.allansbillyhyde.com.au/prod/KRK12SHO/KRK-12sHO-12-High-Output-Studio-Subwoofer.aspx
Guitars | Electric Guitars | Travel Guitars,JS1X Dinky Minion 2/3 Scale Electric Guitar - Black,http://www.bigmusicshop.com.au/jackson-js1x-dinky-minion-2-3-scale-electric-guitar-black.html
Recording | Interfaces,Pro Tools Quartet With Pro Tools 12 1 Year Subscription,http://www.bettermusic.com.au/avid-pro-tools-quartet
Recording | Synth Modules,Aira Bitrazer Programmable Crusher Effect,https://www.storedj.com.au/roland-aira-modular-bitrazer-programmable-eurorack-crusher-effect
Guitars | Electric Guitars | Les Pauls,Les Paul Tribute Plus Electric Guitar - Midnight Sapphire,http://www.bigmusicshop.com.au/epiphone-les-paul-tribute-plus-electric-guitar-ms.html
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Swollen Pickle Jumbo Fuzz MkIIs Fuzz Pedal,https://www.ghmusic.com.au/way-huge-swollen-pickle-jumbo-fuzz-mkiis.html
Guitars | Electric Guitars,JS Series Dinky Arch Top JS22 Electric Guitar - Satin Black,http://www.portmacguitars.com.au/jackson-dinky-arch-top-js22-satin-black
Recording | Drum Machines,ARQ Aero RhythmTrak All-In-One Production and Live Performance Instrument- NEW!,http://www.bigmusicshop.com.au/zoom-arq-aero-rhythmtrak.html
